uuoo,uoou,oouu,ouuo
20.06498908996582,23.77008628845215,21.97731590270996,19.3823184967041
18.677833557128906,20.890539169311523,20.19310760498047,18.05314826965332
33.484962463378906,37.54636001586914,35.51958084106445,33.54365539550781
35.0265998840332,36.524253845214844,34.072628021240234,33.91157913208008
21.809947967529297,20.448261260986328,19.604530334472656,21.378515243530273
23.022916793823242,22.105323791503906,21.39920425415039,23.13219451904297
38.67436218261719,48.89336395263672,46.5308837890625,39.21879577636719
28.794397354125977,25.598840713500977,25.50411605834961,28.58715057373047
17.595998764038086,17.810779571533203,17.73326873779297,17.57149314880371
64.00167846679688,63.13911437988281,58.572105407714844,62.87358856201172
34.614532470703125,32.860008239746094,29.625484466552734,33.40813064575195
22.51226806640625,24.45686149597168,24.148338317871094,21.92630958557129
30.726144790649414,32.86719512939453,31.850252151489258,30.639341354370117
25.720693588256836,26.03297233581543,25.224225997924805,25.747745513916016
25.184789657592773,25.022397994995117,24.489397048950195,25.0904483795166
16.289161682128906,16.6377010345459,16.25302505493164,15.804080963134766
36.71219253540039,39.30183792114258,36.19456100463867,34.272850036621094
12.939592361450195,12.499046325683594,12.447183609008789,12.77808952331543
24.648176193237305,24.150066375732422,23.3502197265625,24.806058883666992
23.226268768310547,22.540340423583984,21.42270851135254,23.056678771972656
10.476907730102539,10.024382591247559,9.73159122467041,10.307931900024414
29.702465057373047,27.547487258911133,26.25421714782715,29.477298736572266
24.287254333496094,24.082202911376953,23.499298095703125,23.842159271240234
19.957212448120117,19.981550216674805,19.37346076965332,19.93370246887207
18.869421005249023,17.47061538696289,16.892845153808594,18.82445526123047
26.97016716003418,27.58564567565918,26.207731246948242,26.66963005065918
26.288597106933594,25.621158599853516,24.734577178955078,25.439531326293945
34.36591720581055,30.654897689819336,29.55876922607422,32.98434829711914
41.61224365234375,38.33382797241211,35.562686920166016,40.99470138549805
19.86665153503418,19.4074649810791,18.300939559936523,19.48990821838379
19.645751953125,17.11203384399414,16.890384674072266,19.786598205566406
27.942256927490234,25.712190628051758,23.963544845581055,27.36821174621582
24.911378860473633,24.44544792175293,23.658733367919922,24.30677604675293
17.68783950805664,17.27275848388672,16.56593894958496,17.205148696899414
31.23072624206543,32.208709716796875,28.48429298400879,29.7108097076416
26.35247230529785,30.459741592407227,27.702938079833984,25.685678482055664
37.23975372314453,33.6455192565918,32.72732925415039,35.76913070678711
21.14904022216797,19.857498168945312,18.66696548461914,20.27188491821289
26.389087677001953,20.438186645507812,19.30144691467285,25.02730941772461
16.786836624145508,16.1687068939209,16.05326271057129,16.42938232421875
21.699108123779297,20.8072452545166,20.118106842041016,21.464082717895508
33.57966232299805,30.582256317138672,29.789918899536133,34.246734619140625
28.113645553588867,25.471416473388672,24.82660675048828,28.296485900878906
