uuoo,uoou,oouu,ouuo
26.45747947692871,28.15203094482422,27.710369110107422,23.98553466796875
34.51103973388672,37.31869888305664,35.862342834472656,33.62902069091797
13.237350463867188,14.360821723937988,13.463827133178711,13.093012809753418
35.778812408447266,37.36723709106445,34.295188903808594,34.379371643066406
27.6788330078125,28.49267578125,27.75792694091797,27.350292205810547
20.312068939208984,21.901931762695312,20.821706771850586,19.427019119262695
32.7054328918457,31.12885284423828,28.92289161682129,31.279020309448242
21.344301223754883,21.908052444458008,19.395797729492188,19.65704345703125
17.618045806884766,18.739274978637695,17.521034240722656,16.874135971069336
22.228622436523438,24.787425994873047,23.771621704101562,21.297727584838867
39.43717956542969,42.498966217041016,40.29594802856445,37.202762603759766
21.28458595275879,23.78653907775879,23.1872615814209,19.76934051513672
33.95134735107422,31.504953384399414,28.48470115661621,31.125572204589844
23.588571548461914,25.076555252075195,20.589431762695312,19.49383544921875
27.514976501464844,31.95072364807129,30.27532196044922,25.425718307495117
28.122533798217773,28.768672943115234,25.625335693359375,26.531185150146484
18.057344436645508,18.251304626464844,18.07351303100586,17.094026565551758
15.638687133789062,17.99054527282715,16.625591278076172,15.466100692749023
25.908428192138672,29.0860595703125,25.658496856689453,23.610366821289062
19.12310218811035,21.110170364379883,20.147594451904297,18.915603637695312
13.883378028869629,15.953360557556152,15.460140228271484,13.475602149963379
23.483346939086914,26.4281005859375,25.078115463256836,21.91655731201172
41.72796630859375,48.65534973144531,48.0888557434082,39.67216491699219
19.692291259765625,19.022567749023438,18.304420471191406,19.29551124572754
20.404800415039062,22.269580841064453,21.660297393798828,19.77836036682129
30.6687068939209,30.658954620361328,29.77533531188965,28.907577514648438
17.032907485961914,17.809175491333008,16.637292861938477,16.63882827758789
20.963573455810547,20.753202438354492,20.372926712036133,20.414464950561523
28.38834571838379,30.580068588256836,28.72022819519043,27.432645797729492
32.96493911743164,31.601289749145508,29.088163375854492,29.645748138427734
11.488436698913574,13.470329284667969,12.741147994995117,11.062457084655762
14.380873680114746,14.39976978302002,14.06498908996582,14.07571792602539
16.260892868041992,17.29068946838379,16.864151000976562,15.775188446044922
34.657447814941406,35.39935302734375,32.75068283081055,33.67891311645508
32.60618209838867,34.979461669921875,28.88278579711914,29.539260864257812
26.072458267211914,32.535194396972656,30.25116539001465,25.32770347595215
53.964839935302734,53.418724060058594,47.72042465209961,48.70936965942383
29.710031509399414,33.07369613647461,32.168739318847656,27.64103889465332
14.106097221374512,14.687294960021973,13.48883056640625,12.963147163391113
32.60563659667969,35.4393196105957,32.930728912353516,30.431991577148438
26.10160255432129,30.363983154296875,28.025161743164062,25.202560424804688
32.38953399658203,35.25926971435547,32.1412353515625,30.76677894592285
24.176105499267578,20.639141082763672,20.67195701599121,22.501745223999023
14.851655006408691,15.41667652130127,14.95837688446045,14.277058601379395
26.454509735107422,25.61957359313965,24.005395889282227,25.278343200683594
38.887882232666016,39.9029655456543,35.52705001831055,35.317874908447266
23.545475006103516,25.881832122802734,24.728958129882812,22.13596534729004
34.873558044433594,37.74345016479492,34.079471588134766,30.374662399291992
28.649232864379883,25.93794822692871,23.088769912719727,27.050033569335938
32.594932556152344,33.879154205322266,31.40587615966797,28.752653121948242
31.657394409179688,33.66587448120117,29.35251235961914,28.572444915771484
25.874971389770508,28.706480026245117,26.30014991760254,23.89406394958496
22.504962921142578,22.779085159301758,21.42850112915039,20.902694702148438
44.41006088256836,39.092838287353516,36.998619079589844,37.59163284301758
39.95145797729492,46.57815933227539,38.11617660522461,35.391292572021484
21.495563507080078,21.838411331176758,20.1742000579834,20.709136962890625
